question_text,choice1,choice2,choice3,choice4,correct_answer,quiz_id
"What is the value of π (pi) rounded to two decimal places?","3.12","3.14","3.16","3.18",2,3
"What is the square root of 64?","6","7","8","9",3,3
"What is 15% of 200?","25","30","35","40",2,3
"What is the next prime number after 7?","9","10","11","13",3,3
"What is the area of a triangle with base 10 and height 5?","20","25","30","35",2,3
"What is 7 multiplied by 6?","40","42","44","46",2,3
"What is the value of 5 factorial (5!)?","100","110","120","130",3,3
"What is the sum of the angles in a triangle?","180 degrees","360 degrees","90 degrees","270 degrees",1,3
"What is the value of x if 2x + 3 = 11?","2","3","4","5",3,3
"What is the result of 9 divided by 3?","2","3","4","5",2,3
"What is the perimeter of a rectangle with length 8 and width 4?","24","26","28","30",1,3
"What is the decimal equivalent of 1/4?","0.5","0.25","0.75","1",2,3
"What is the solution to the equation x^2 = 16?","2","-2","4","-4",3,3
"What is the value of 3 cubed (3^3)?","6","9","27","81",3,3
"What is the hypotenuse of a right triangle with legs of 3 and 4?","5","6","7","8",1,3
"What is the slope of the line y = 2x + 3?","1","2","3","4",2,3
"What is 9% of 300?","21","24","27","30",3,3
"What is the value of the expression 2^5?","16","32","64","128",2,3
"What is the greatest common divisor (GCD) of 24 and 36?","6","8","12","18",3,3
"What is the median of the set {3, 5, 7, 9, 11}?","5","6","7","8",3,3
"What is the capital of Germany?","Berlin","Madrid","Paris","Rome",1,1
"What is the largest continent?","Asia","Africa","Europe","North America",1,1
"Which river is the longest in the world?","Nile","Amazon","Yangtze","Mississippi",1,1
"Which is the smallest country by area?","Vatican City","Monaco","Nauru","San Marino",1,1
"What is the capital of Canada?","Ottawa","Toronto","Vancouver","Montreal",1,1
"Which country has the most natural lakes?","Canada","Brazil","Russia","India",1,1
"What is the highest mountain in the world?","K2","Kangchenjunga","Mount Everest","Lhotse",3,1
"Which desert is the largest in the world?","Sahara","Arabian","Gobi","Kalahari",1,1
"Which country is known as the Land of the Rising Sun?","Japan","China","South Korea","Thailand",1,1
"What is the longest river in Europe?","Volga","Danube","Ural","Dniester",1,1
"What is the capital of Australia?","Sydney","Melbourne","Canberra","Brisbane",3,1
"Which ocean is the largest?","Atlantic","Indian","Arctic","Pacific",4,1
"Which continent is known as the 'Dark Continent'?","Asia","Africa","South America","Europe",2,1
"What is the longest mountain range in the world?","Rocky Mountains","Andes","Himalayas","Alps",2,1
"Which country is known as the Land of the Midnight Sun?","Norway","Sweden","Finland","Denmark",1,1
"What is the capital of Brazil?","Rio de Janeiro","São Paulo","Brasília","Salvador",3,1
"Which is the smallest continent by land area?","Europe","Australia","Antarctica","South America",2,1
"What river runs through Paris?","Seine","Thames","Danube","Rhine",1,1
"Which country has the highest population?","India","United States","Indonesia","China",4,1
"What is the largest island in the world?","Borneo","Greenland","New Guinea","Madagascar",2,1
"What does HTML stand for?","Hyper Text Markup Language","Home Tool Markup Language","Hyperlinks and Text Markup Language","Hyper Tool Multi Language",1,2
"Which language is primarily used for web development?","Python","Java","JavaScript","C++",3,2
"Which company developed the Java programming language?","Apple","Google","Microsoft","Sun Microsystems",4,2
"Which of the following is a Python framework?","Laravel","Django","Rails","Spring",2,2
"Which symbol is used to indicate an ID in CSS?","#",".","*","$",1,2
"Which HTML tag is used to define an unordered list?","<ol>","<ul>","<li>","<list>",2,2
"What is the correct file extension for Python files?",".java",".py",".cpp",".php",2,2
"In which language is React written?","Python","C++","JavaScript","Java",3,2
"Which method is used to find the length of a string in JavaScript?","len()","length()","strLength()","size()",2,2
"What does CSS stand for?","Cascading Style Sheets","Computer Style Sheets","Creative Style Sheets","Colorful Style Sheets",1,2
"Which SQL statement is used to extract data from a database?","GET","EXTRACT","SELECT","OPEN",3,2
"Which Python keyword is used to create a function?","function","def","func","lambda",2,2
"What does JSON stand for?","JavaScript Object Notation","JavaScript Online Notation","Java Source Object Notation","JavaScript Object Native",1,2
"Which symbol is used for comments in Python?","#","//","/*","--",1,2
"Which method can be used to round a number to the nearest integer in Python?","round()","Math.round()","ceil()","floor()",1,2
"What is the value of the expression 2 + 2 * 2 in Python?","4","6","8","10",2,2
"Which of the following is a version control system?","Git","Docker","Jenkins","Kubernetes",1,2
"Which language is used to style web pages?","HTML","JQuery","CSS","XML",3,2
"What does SQL stand for?","Structured Query Language","Strong Question Language","Structured Query Link","Simple Query Language",1,2
"Which HTML element is used to specify a footer for a document or section?","<bottom>","<footer>","<foot>","<section>",2,2